model_aqi,pollutant,model_mae_aqi,model_rmse_aqi,model_mape_aqi,model_r2_aqi,baseline_mae_aqi,baseline_rmse_aqi,baseline_mape_aqi,baseline_r2_aqi,mae_improvement_percent_aqi,rmse_improvement_percent_aqi,evaluated_batches_aqi,evaluated_samples_aqi,run_name_aqi,model_hybrid,model_mae_hybrid,model_rmse_hybrid,model_mape_hybrid,model_r2_hybrid,baseline_mae_hybrid,baseline_rmse_hybrid,baseline_mape_hybrid,baseline_r2_hybrid,mae_improvement_percent_hybrid,rmse_improvement_percent_hybrid,evaluated_batches_hybrid,evaluated_samples_hybrid,run_name_hybrid,hybrid_vs_aqi_rmse_improvement_percent,hybrid_vs_aqi_mae_improvement_percent
AQITransformer,PM2.5,28.163408,49.64175,94.29847,0.575593,34.2967,61.821987,92.49081,0.341775,17.883038,19.70211,2332,149225,full_test,HybridBiLSTMTransformer,27.956337,48.46539,110.35727,0.595469,34.2967,61.821987,92.49081,0.341775,18.486801,21.60493,2332,149225,hybrid_full_test,2.3697011,0.73524946
AQITransformer,PM10,49.845177,80.62519,58.372253,0.6005316,61.006065,102.60697,59.7517,0.3530144,18.29472,21.423283,2332,149225,full_test,HybridBiLSTMTransformer,50.118828,80.75051,57.6842,0.5992889,61.006065,102.60697,59.7517,0.3530144,17.846157,21.301146,2332,149225,hybrid_full_test,-0.15543583,-0.54900223
AQITransformer,NO,10.42398,29.629896,141.80763,0.43974936,13.405514,41.476727,182.49213,-0.097819805,22.241102,28.562597,2332,149225,full_test,HybridBiLSTMTransformer,10.881,29.547653,161.38823,0.44285518,13.405514,41.476727,182.49213,-0.097819805,18.83191,28.760883,2332,149225,hybrid_full_test,0.2775675,-4.384312
AQITransformer,NO2,9.079521,18.58319,58.419388,0.7082171,11.538585,24.0869,51.64957,0.50979114,21.311657,22.84939,2332,149225,full_test,HybridBiLSTMTransformer,9.148185,18.218899,52.76983,0.71954477,11.538585,24.0869,51.64957,0.50979114,20.716578,24.361797,2332,149225,hybrid_full_test,1.9603316,-0.75624686
AQITransformer,NOx,13.200732,31.000187,191.2553,0.549353,17.448921,43.118515,153.71744,0.12816274,24.346428,28.104698,2332,149225,full_test,HybridBiLSTMTransformer,13.677696,30.779657,197.84573,0.55574185,17.448921,43.118515,153.71744,0.12816274,21.61294,28.616148,2332,149225,hybrid_full_test,0.7113814,-3.6131632
AQITransformer,NH3,7.4970536,18.548605,522.7626,0.7423786,7.9691443,21.73241,348.94434,0.64634883,5.9239826,14.650033,2332,149225,full_test,HybridBiLSTMTransformer,7.707075,18.527826,492.46368,0.7429555,7.9691443,21.73241,348.94434,0.64634883,3.2885492,14.7456455,2332,149225,hybrid_full_test,0.11202274,-2.8013873
AQITransformer,SO2,5.1238356,11.648629,370.782,0.461569,6.214628,15.439294,339.93893,0.054121614,17.552017,24.55206,2332,149225,full_test,HybridBiLSTMTransformer,5.3066845,11.77999,374.99957,0.4493569,6.214628,15.439294,339.93893,0.054121614,14.609784,23.701237,2332,149225,hybrid_full_test,-1.127695,-3.568595
AQITransformer,CO,0.38540173,0.6744154,518.8159,0.4678232,0.46276033,0.872246,466.17474,0.10981774,16.716776,22.6806,2332,149225,full_test,HybridBiLSTMTransformer,0.37235203,0.6582254,500.16403,0.49306738,0.46276033,0.872246,466.17474,0.10981774,19.536743,24.536724,2332,149225,hybrid_full_test,2.4005964,3.3859973
AQITransformer,O3,9.967027,16.11274,102.80486,0.72423047,17.5561,30.774992,190.14755,-0.006012678,43.22756,47.6434,2332,149225,full_test,HybridBiLSTMTransformer,10.249284,16.416649,110.94848,0.7137295,17.5561,30.774992,190.14755,-0.006012678,41.619816,46.65588,2332,149225,hybrid_full_test,-1.886143,-2.8319085
AQITransformer,Benzene,1.811341,8.501214,671.46967,0.80064,1.5952806,6.7251663,432.09958,0.87523806,-13.543723,-26.40898,2332,149225,full_test,HybridBiLSTMTransformer,1.8410778,9.233621,523.2157,0.7648093,1.5952806,6.7251663,432.09958,0.87523806,-15.407769,-37.299515,2332,149225,hybrid_full_test,-8.615318,-1.6416984
AQITransformer,Toluene,5.3256855,17.843002,680.9231,0.5425854,5.063263,18.567942,300.6294,0.5046619,-5.1828747,3.9042525,2332,149225,full_test,HybridBiLSTMTransformer,5.2478757,16.064486,628.41205,0.6292272,5.063263,18.567942,300.6294,0.5046619,-3.6461222,13.482679,2332,149225,hybrid_full_test,9.967587,1.461029
